Title,Company name,Job location,Work experience,Portal link,job listing link,Company's Rating,No. of openings,Applicants,Job_posting_date,Minimum salary,Maximum salary,Average salary,Benefits,Others,Education details,Skills,About company,Job description
Architect,Barbeque Nation,Bengaluru,4  7 years,https://www.naukri.com/,https://www.naukri.com/job-listings-architect-barbeque-nation-bengaluru-4-to-7-years-270524005637,4.0,1,70,2024-05-27,,,,"['Free Food', 'Job Training', 'Team Outings', 'Cafeteria', 'Soft Skill Training', 'Health Insurance']","['Role: Architecture & Interior Design - Other Industry Type: Hotels & Restaurants Department: UX, Design & Architecture Employment Type: Full Time, Permanent Role Category: Architecture & Interior Design']",['Education UG: B.Arch in Any Specialization'],['Key Skills Skills highlighted with ‘‘ are preferred keyskills AutoCAD Sketchupfit-outRenderingInterior DecorationCommercial ProjectsArchitectural DesignInteriorsinterior designerVRAYInterior Designing'],"About company www.barbequenation.com Company Info Address: Unit No.601,602, 6th Floor, Saket Callipolis, Sarajapur Road, Doddakannalli Village, Varthur Hobli, Bengaluru (Bangalore) Urban, BANGALORE, Karnataka, India","We have an urgent requirement for an Architect with experience in fit-out projects.  Location: Bangalore 1.Job description Business Unit: Barbeque Nation Hospitality, Head Office Location: Bangalore Department: Projects Function: Design & Execution 2.Financial Accountability Manage the Project drawings as per guide line to within Budget of Project Department in consultation with project coordinator/ Head of Projects and Maintenance. 3.Purpose To coordinate, review, interpret and guide on interior design and technical drawings to achieve standard design direction set for barbeque nation/Toscano outlets across pan India.  4.Communication A. Internal This position will interact with the in house or outsource architect, project coordinator, project head, Regional project Managers of each region or upcoming new site to stay focused on BBQN Expansion plans and interior design and technical drawings related coordination, review, interpretation and guidelines or explanation. Design coordinator will work closely with the Internal Project Teams to ensure implementation of Facility Planning and procurement of all drawings on timely manner. Interactions with Heads of other support functions will be frequent. B.External This position will work closely with all external agency representatives to ensure effective and efficient Project and planning delivery support as per the specified guidelines and terms of contract.  Other important relationships will be maintained with key Architects, Interior designer, product manufacturers or service provider to incorporate the new technological or cost efficient systems or work methods. 5.Main Duties Develop store layout for civil interior/exterior, design, dcor, concept, aesthetic, brand identity keeping minimum must have brand standards, industry or local regulation norms. Keeping cost optimization in target which may involve R&D, etc. Achieve Quarterly or Annual Store Roll out Target in terms of store interiors drawings and details (all Group Brands). Monitoring Drawing schedule for each store, evaluating and delivering the same on time. Carry out initial Technical project feasibility study to check on minimum infrastructure requirement for BBQN/Toscano interior fit out works. Respond with solution and clarity for all the queries raised by the project manager during the course of execution of the project which makes easier for the contractors to carry out the execution without any break. Identify various queries and qualities sought during the course of execution of the project and improvise on the same during designing next outlet, so that number of queries can be reduced, reducing dependency on the design coordinator and architect once given the complete set of drawings. Audit site during implementation and post completion once for quality of work and check whether the execution was as per drawing Submit BOQ along with final detailed drawings and coordinate with vendors and site team. Evaluating the performance of the architect as per the drawing and give feedback and pass the bill for payment and ensuring good relationship with the architect. 6.Additional Tasks Making initial block layout of the front of the house and back of the house plan. Take approvals on entire final plan for the new outlet Coordinate with the consultant on MEP & HAVC, Fire safety and networking drawing and approvals Plan kitchen bar layout and approvals. 7.Experience  5+ years in Project management field with focus on Retail/Restaurant or F&B outlets Experience with F&B/hotel/ Retail brands (desirable) Operational experience in F&B or related service industry (desirable) Experience in dealing and getting work done with external agencies 8.Skills Outstanding verbal and written communications skills in English and the ability to persuade others to consider a different point of view. Skill in developing and making effective presentation. Strong Knowledge of interior fit out works, MEP, HVAC, Plant and machineries, fire safety, Lighting systems, Hardware networking development/management Creative and a critical trained eye for creative review. Nuanced in high volume business operations (desirable). Multiple language skills (desirable). Technical problem solver (desirable)."
Architect,Brillio,Bengaluru,10  12 years,https://www.naukri.com/,https://www.naukri.com/job-listings-architect-brillio-technologies-pvt-ltd-bengaluru-10-to-12-years-040424501431,3.5,1,12,2024-05-04,Min 24 LPA,Max 45 LPA,Avg. salary - 34.5 LPA,"['Work From Home', 'Health Insurance', 'Cafeteria', 'Soft Skill Training', 'Team Outings', 'Job Training']","['Role: Solution Architect Industry Type: IT Services & Consulting Department: Engineering - Software & QA Employment Type: Full Time, Permanent Role Category: Software Development']",['Education UG: Any Graduate PG: Any Postgraduate'],['Key Skills TelecomArchitectC++Product engineeringTesting toolsGCPCloudSiliconmicrosoftTroubleshooting'],"About company We Are Brillio. Born of the digital age in 2014. We are laser-focused on turning technological disruptions into the advantages that our customers need to thrive in today???s digital economy.Brillio? is a company focused on digital technologies and? big data? analytics headquartered in? Santa Clara, California, United States","   Minimum of 10+ years experience.      Good    Telecom and Network Management knowledge        Experience in telecom network testing and troubleshooting - Experience in TEMS product is preferred      Familiarity with Telecom Standards      Capable of understanding the MEF, ONF, and TMF documentation      Deep knowledge in cloud and microservices technologies      Exposure and good working knowledge in    .NET core       Proficient in programming in any one of the languages is a must        C#/   Microsoft Foundation Classes      Experience in    C++    is good to have      Proficient in any of the message queues like NATS message broker/Rabbit MQ/Active MQ .       Secondary Skills        Microservices Patterns, RabbitMQ, Docker, C#, .Net, Kubernetes        Job requirements        Integration and understanding of one of the chipsets Qualcomm, Mediatek, Hi-silicon      Exposure to integration with GMaps      Exposure to Open API and Soap API      Experience in Database technologies like Postgres, Clickhouse      Good understanding of caching mechanism and in-memory persistence (Redis, Memcached to name a few)      Proficient in any of the cloud technology platforms like AWS/Azure/GCP (Certification will be a plus)      Experience in using Postman/Newman testing tools      Good working proficiency of docker and kubernetes      Exposure to tools like Rancher, Geoserver is a plus      Good exposure on .NET XAML    "
Architect,Brillio,Bengaluru,10  20 years,https://www.naukri.com/,https://www.naukri.com/job-listings-architect-brillio-technologies-pvt-ltd-bengaluru-10-to-20-years-020424500102,3.5,1,106,2024-05-04,Min 24 LPA,Max 45 LPA,Avg. salary - 34.5 LPA,"['Work From Home', 'Health Insurance', 'Cafeteria', 'Soft Skill Training', 'Team Outings', 'Job Training']","['Role: Solution Architect Industry Type: IT Services & Consulting Department: Engineering - Software & QA Employment Type: Full Time, Permanent Role Category: Software Development']",['Education UG: Any Graduate PG: Any Postgraduate'],['Key Skills GSMTelecomProduct engineeringPerformance managementService assuranceINAPMegacoSIPSCCPAmdocs'],"About company We Are Brillio. Born of the digital age in 2014. We are laser-focused on turning technological disruptions into the advantages that our customers need to thrive in todays digital economy.Brilliois a company focused on digital technologies andbig dataanalytics headquartered inSanta Clara, California, United States","   Minimum of 10+ years experience.      Good Telecom OSS, 5G and telecom Network knowledge      Deep expertise in Telecom OSS- Service assurance, Network Assurance, performance management      Experience in telecom OSS products like Amdocs, MycomOSI , Ativa.      Knowledge on mobile technologies like 5G, LTE, GSM.      Familiarity with Telecom Standards like TMForum , 3GPP, ITU ETSI      Deep understanding of Voice Protocols and Mobile protocols like Avaya H.323, Camel, Diameter, GTP, INAP, Megaco, NGAP, RTP, SCCP, SIP, TCAP, OTT Video. XCAP, VTAP      Deep knowledge in cloud and microservices technologies      Ability to curate a technical roadmap aligned with the product manager's vision      Proficient in C++ programming.          Specialization        Frontend Web: Architect "
Architect,Brillio,Bengaluru,14  20 years,https://www.naukri.com/,https://www.naukri.com/job-listings-architect-brillio-technologies-pvt-ltd-bengaluru-14-to-20-years-300424501380,3.5,1,65,2024-05-04,Min 24 LPA,Max 45 LPA,Avg. salary - 34.5 LPA,"['Work From Home', 'Health Insurance', 'Cafeteria', 'Soft Skill Training', 'Team Outings', 'Job Training']","['Role: Director - Architecture Industry Type: IT Services & Consulting Department: UX, Design & Architecture Employment Type: Full Time, Permanent Role Category: Architecture & Interior Design']",['Education UG: Any Graduate PG: Any Postgraduate'],['Key Skills c++service assurancesccp3gppmicroservices5gamdocsapachejavatelecom ossss7linuxavayamysqlsipprotocolslteprogrammingarchitecturetcpmegacoxcappythoninaptcapottrtpkafkazeromqperformance management'],"About company We Are Brillio. Born of the digital age in 2014. We are laser-focused on turning technological disruptions into the advantages that our customers need to thrive in todays digital economy.Brilliois a company focused on digital technologies andbig dataanalytics headquartered inSanta Clara, California, United States","   Good Telecom OSS, 5G and telecom Network knowledge      Deep expertise in Telecom OSS- Service assurance, Network Assurance, performance management      Experience in telecom OSS products like Amdocs, MycomOSI , Ativa.      Knowledge on mobile technologies like 5G, LTE, GSM.      Familiarity with Telecom Standards like TMForum , 3GPP, ITU ETSI      Deep understanding of Voice Protocols and Mobile protocols like Avaya H.323, Camel, Diameter, GTP, INAP, Megaco, NGAP, RTP, SCCP, SIP, TCAP, OTT Video. XCAP, VTAP      Deep knowledge in cloud and microservices technologies      Ability to curate a technical roadmap aligned with the product managers vision      Proficient in C++ programming.          Secondary Skills       Zero MQ,Kafka  "
Architect,Builders Network,Pune,4  8 years,https://www.naukri.com/,https://www.naukri.com/job-listings-architect-builders-network-pune-4-to-8-years-290524501558,,1,Less than 10,2024-05-29,,,,[],"['Role: Architecture & Interior Design - Other Industry Type: Real Estate Department: UX, Design & Architecture Employment Type: Full Time, Permanent Role Category: Architecture & Interior Design']",['Education UG: Any Graduate PG: Any Postgraduate'],['Key Skills ArchitectConstructionStructural analysis'],"About company About Builders Network is a comprehensive platform for all resources that form the Real Estate & Construction Industry.  It can be considered as an aggregate platform of all Vendors, Contractors, Material Suppliers, Consultants as well as Ad Agencies that play a substantial role in the construction industry.",   develop and implement building designs. Also compile feasibility reports      determine environmental impact      create project proposals      estimate costs      determine timelines and oversee construction processes. Teamwork      Structural Analysis and Design      Technical Competence      Communication Skills    
Architect,CBRE,Gurugram,5  8 years,https://www.naukri.com/,https://www.naukri.com/job-listings-architect-cbre-gurugram-5-to-8-years-230524003670,4.2,1,211,2024-05-23,Min 4.2 LPA,Max 6.8 LPA,Avg. salary - 5.8 LPA,"['Health Insurance', 'Job Training', 'Soft Skill Training', 'Education Assistance', 'Cafeteria', 'Team Outings']","['Role: Architecture & Interior Design - Other Industry Type: Facility Management Services Department: UX, Design & Architecture Employment Type: Full Time, Permanent Role Category: Architecture & Interior Design']",['Education UG: Any Graduate'],['Key Skills Skills highlighted with ‘‘ are preferred keyskills ArchitectAutoCADarchibus Architectural DesignSpace PlanningInterior Designing'],"About company CBRE Group, Inc.(NYSE:CBRE), a Fortune 500 and S&P 500 company headquartered in Dallas, is the world largest commercial real estate services and investment firm (based on 2020 revenue).  The company has more than 100,000 employees serving clients in more than 100 countries. CBRE serves a diverse range of clients with an integrated suite of services, including facilities, transaction and project management; property management; investment management; appraisal and valuation; property leasing; strategic consulting; property sales; mortgage services and development services.  CBRE was the first international real estate services firm to set up an office in India. Since then, our operations have grown to include more than 9000 professionals across 10 offices, with a presence in over 200 cities in India.  Please visit our website at www.cbre.com  DISCLAIMER  Due to high volume of CV we receive, we regret that we may not be able to respond to all applications individually. We will contact you within 14 days if your skills and experience match what is needed for the open role, or if there is a similar opportunity currently available. Company Info Address: M Block,7TH FLOOR,DLF SQUARE,JACARANDA MARG,DLF PH , GURGAON, Haryana, India Awarded by AmbitionBox Winner of ABECA 2024 - AmbitionBox Employee Choice Awards Learn more","Dear All, We are hiring for an Architech for one of our client in Gurgaon. Below will be the job description Should be flexible to work during different time  zones (Covering India and US time zones as per requirement). Should be aware of Auto Cad and different software related to design. Should have a good communication skill. Should have a good knowledge in space planning and allocations, preparing PPT and converting PDFs into Cad layouts. Would be a plus point if candidate is aware of Archibus software. Supporting WPS director on the mergers & Acquisitions documentation and reports Interested Candidates can share cv's at archana.mattoo@cbre.com"
ARCHITECT,Chettiar Consulting Engineers Goregaon West Mumbai,Mumbai,1  2 years,https://www.naukri.com/,https://www.naukri.com/job-listings-architect-chettiar-consulting-engineers-goregaon-west-mumbai-mumbai-1-to-2-years-310524501123,,1,Less than 10,2024-05-31,,,,[],"['Role: Director - Architecture Industry Type: Engineering & Construction Department: UX, Design & Architecture Employment Type: Full Time, Permanent Role Category: Architecture & Interior Design']",['Education UG: B.Arch in Architecture PG: Any Postgraduate'],['Key Skills 3D modelingArchitectArchitectureAcadIndustrial projects'],"About company Chettiar Consulting Engineers (CCE) is one of the well known Multi Disciplinary Turnkey Engineering Consulting organisation established in the year 2013. CCE provides complete MEP Design Services for all type of Buildings , industry and infra projects.","Chettiar consulting engineers goregaon west mumbai is looking for ARCHITECT to join our dynamic team and embark on a rewarding career journey      Collaborating with clients, engineers, and other stakeholders to determine project requirements and goals      Developing and presenting design concepts, plans, and models to clients for approval      Conducting site surveys and analyzing data to determine the best design solutions for a particular location and purpose      Preparing detailed drawings and specifications      Staying current with relevant building codes, regulations, and industry trends      Managing budgets, schedules, and other project-related activities      Ensuring that projects are completed within budget, on time, and to the satisfaction of clients and stakeholders      An Architect must possess a combination of technical, creative, and interpersonal skills        "
Architect,Counttrees Technologies Technologies Ptd Ltd,Bengaluru,3  6 years,https://www.naukri.com/,https://www.naukri.com/job-listings-architect-counttrees-technologies-technologies-ptd-ltd-bengaluru-3-to-6-years-290524501086,,1,Less than 10,2024-05-29,,,,[],"['Role: Technical Architect Industry Type: Software Product Department: Engineering - Software & QA Employment Type: Full Time, Permanent Role Category: Software Development']",['Education UG: Any Graduate PG: Any Postgraduate'],['Key Skills architectural designemerging technologiestechnical leadershipmentoringprototypescalabilityapplication developmentcodingjavasystem integrationintegrationcode reviewtechnical specificationsperformance optimizationarchitecture'],"About company The dream started on the Dussehra of 2016. Dream of a cleaner & greener India. Trees are uncountable now. The weather is predictable. The air is clean. The Digital Revolution was the game-changer. Paper bills are obselete. Because, digital billing is easy & hassle-free.","   Architectural Design: Design and implement high-performance, scalable, and reliable Java-based applications. Create robust, flexible, and scalable architecture solutions that meet business requirements.      Technical Leadership: Provide technical leadership and guidance to development teams. Mentor and coach team members on best practices, coding standards, and architectural principles.      Collaboration: Collaborate with cross-functional teams, including product managers, developers, and quality assurance, to understand business requirements and translate them into technical specifications.      Code Review: Conduct code reviews to ensure adherence to coding standards, best practices, and architectural guidelines. Identify and address performance bottlenecks, security issues, and code smells.      Prototyping and Proof of Concepts: Create prototypes and proof of concepts to validate architectural decisions and technology selections. Stay abreast of emerging technologies and recommend their adoption as appropriate.      System Integration: Lead the integration of new and existing systems, ensuring compatibility and seamless data flow. Troubleshoot and resolve integration issues as needed.      Performance Optimization: Optimize application performance through tuning, monitoring, and implementing best practices. Identify areas for improvement and implement solutions to enhance overall system efficiency.      Security: Implement and enforce security best practices in application development. Stay updated on industry security trends and proactively address potential vulnerabilities.      Documentation: Create and maintain comprehensive technical documentation, including architecture diagrams, design documents, and deployment procedures.    "
Architect,D Source,Nashik,0  3 years,https://www.naukri.com/,https://www.naukri.com/job-listings-architect-d-source-nashik-0-to-3-years-311022502821,,1,63,2024-05-04,,,,[],"['Role: Other Industry Type: Recruitment / Staffing Department: Other Employment Type: Full Time, Permanent Role Category: Other']",['Education UG: Any Graduate PG: Any Postgraduate'],['Key Skills ArchitectConstructionArchitectureConstruction engineering'],"About company D|Source is professional pre placement Training and Placements Company with a sole mission to help candidates achieve their dream career by sky rocketing their skills and to provide confident and competent professionals to Organizations.Its often said that FAILING TO PREPARE IS PREPARING TO FAIL, so preparation before an interview IS A MUST. And at D|Source we give all the skills necessary to crack an interview.","       Control project from start to finish to ensure high quality, innovative and functional design     Take the “brief” to identify clients’ needs and put together feasibility reports and design proposals     Develop ideas keeping in mind client’s needs, building’s usage and environmental impact     Produce detailed blueprints and make any necessary corrections     Compile project specifications       =====       Skills:         Creative Thinking               "
Architect,Dar Al Handasah Consultants Shair and Partners India,Pune Bengaluru,5  10 years,https://www.naukri.com/,https://www.naukri.com/job-listings-architect-dar-al-handasah-consultants-shair-and-partners-india-pune-bengaluru-5-to-10-years-300524009015,3.1,15,20,2024-05-30,Min 5 LPA,Max 10.6 LPA,Avg. salary - 7.4 LPA,"['Health Insurance', 'Job Training', 'Cafeteria', 'Transport', 'International Relocation', 'Soft Skill Training']","['Role: Architect Industry Type: Engineering & Construction Department: UX, Design & Architecture Employment Type: Full Time, Permanent Role Category: Architecture & Interior Design']",['Education UG: B.Arch in Any Specialization'],['Key Skills Skills highlighted with ‘‘ are preferred keyskills AutoCADIllustratorREVIT LumionGrasshopperRhinocerosPhotoshop'],"About company Dar is one of the worlds leading consultancies, providing design, planning, engineering, sustainability consulting, digital solutions and services, and project management for buildings, cities, transportation, civil infrastructure, water and the environment. We are a global community of talented and innovative engineers, planners, economists, architects, sustainability specialists, digital experts, designers, project management specialists, construction management professionals, and multidisciplinary experts. Together, we take on the worlds most exciting and ambitious projects in order to nurture sustainable development, empower and connect communities, create more and better opportunities, and enhance lives. Dar has over 9,000 professionals in 54 offices across the Middle East, Africa, Asia, and Europe. Collectively, our teams have delivered over 4,500 projects, worth more than US$540 billion, for more than 950 clients around the world.  Please visit our website to know more about us - www.dar.com Company Info Link: Dar Al Handasah Consultants Shair and Partners India website Address: Wing A and B, Tower 11,Level 2 and 6,Cyber City,Ma garpatta City,Hadapsar , PUNE, Maharashtra, India","Dear Candidate,  We're seeking an architect to join our team in Pune and Bengaluru. If you are interested, please share your resume and consolidated portfolio on Mona.Hirulkar@dar.com Role & responsibilities   Prepare building drawings that address and meet exacting project functions of aesthetics and practicality and budget. Analyze user(s) requirements while participating in research, conceptual and development of designs.  Assist in the analysis of proposed architectural / engineering alternatives and Minutes of meetings, sketches, reports, contract drawings, etc. Participate as applicable in research ,conceptual and development designs exercises. Work in a team and coordinate building design with other design professionals and Engineers.  Implement department and QA procedures . Coordinate project details with peers from other departments. Clarify/resolve problems, develop designs, and prepare design modifications as required. Prepare a complete set of Architectural design construction drawings, documents, specifications and maintaining the companys graphical standards for deliverables. Qualifications: Architectural design awareness in line with the company project portfolio of projects. Technical building systems awareness currently used across design typologies. International building code awareness.  Fire and Life safety code awareness and regulations with regard to occupancy type , travel distance, no of egress points, egress width. Disability code awareness and application to building design typologies. Building Acoustic awareness and treatment in buildings. Building Material product selections and specifications. Building faade design and treatment with product selections. Building Signage awareness and application. Faade maintenance systems and basic selection criteria. Skills: Enthusiastic, inventive and imaginative bent of mind with a positive work ethic and able to work in a demanding, interdisciplinary work environment. An intermediate to advanced working knowledge of Revit for building typologies. Excellent communication skills. Exccellent command in English Language   Education / Experience: B.Arch. (or) M.Arch. from a reputed school.  5 to 10 years of relevant experience with a good level of technical competency. An excellent knowledge of primary Software such as  Revit  , Sketchup ,AutoCAD, Microsoft Word, Excel, Power Point.  Additional software Knowledge such as Rhino, Grasshopper Dynamo, Lumion, Photoshop, Illustrator, Navis Works is plus. Regards,  Mona Hirulkar Sr. Talent Aquisition Officer"
Architect,Dimension India Network DIN,Noida,0  3 years,https://www.naukri.com/,https://www.naukri.com/job-listings-architect-dimension-india-networks-p-ltd-noida-0-to-3-years-070915502669,3.8,1,2734,2024-05-04,,,,"['Job Training', 'Soft Skill Training', 'Cafeteria', 'Team Outings', 'Health Insurance', 'Transport']","['Role: Architect Industry Type: IT Services & Consulting Department: UX, Design & Architecture Employment Type: Full Time, Permanent Role Category: Architecture & Interior Design']",['Education UG: B.Arch in Architecture PG: Post Graduation Not Required'],['Key Skills architectural designworking drawingsautocad 3ddetailingdocumentsrevitdiplomasketchupknowledge of autocadknowledge'],"About company Dimension I, a renowned Global Outsourcing Company was established over a decade ago, in the year 1999.We have a clear vision to provide the best in class services to our clients across the globe. A blend of business and technology professionals with experience of working with some of the biggest names in the corporate world and the most challenging projects for over 10 years, the team is the right mix to deliver quality solutions every time.","    Job Description :       Skills:    Good working knowledge of AutoCAD, 3D, Sketchup and Revit.      Qualification:    B.Arch or Diploma in Architecture. Knowledge of Revit will be given preference.      Profile:    To Develop & Create Architectural Design, Presentation Documents, Working Drawings and Detailing using AutoCAD and Revit. clientele.     "
Architect,Dimension India Network DIN,Delhi,0  5 years,https://www.naukri.com/,https://www.naukri.com/job-listings-architect-dimension-india-networks-p-ltd-delhi-0-to-5-years-150715502545,3.8,1,1959,2024-05-04,,,,"['Job Training', 'Soft Skill Training', 'Cafeteria', 'Team Outings', 'Health Insurance', 'Transport']","['Role: Architect Industry Type: IT Services & Consulting Department: UX, Design & Architecture Employment Type: Full Time, Permanent Role Category: Architecture & Interior Design']",['Education UG: B.Arch in Architecture PG: Post Graduation Not Required'],['Key Skills architectural designautocad 3dworking drawingsdetailingdocumentsrevitdiplomasketchupknowledge of autocadknowledge'],"About company Dimension I, a renowned Global Outsourcing Company was established over a decade ago, in the year 1999.We have a clear vision to provide the best in class services to our clients across the globe. A blend of business and technology professionals with experience of working with some of the biggest names in the corporate world and the most challenging projects for over 10 years, the team is the right mix to deliver quality solutions every time.","     Skills:      Good working knowledge of AutoCAD,  3D,  Sketchup and Revit.               or Diploma in Architecture. Knowledge of Revit will be given preference.              Profile:      To Develop & Create Architectural Design,  Presentation Documents,  Working Drawings and Detailing using AutoCAD and Revit. clientele.        "
Architect,DK  Associates,Delhi  NCR Defence Colony ,5  10 years,https://www.naukri.com/,https://www.naukri.com/job-listings-architect-dk-associates-delhi-ncr-5-to-10-years-190424007786,3.3,3,Less than 10,2024-06-03,,,,[],"['Role: Architect Industry Type: Architecture / Interior Design Department: UX, Design & Architecture Employment Type: Full Time, Permanent Role Category: Architecture & Interior Design']",['Education UG: B.Arch in Any Specialization'],['Key Skills Skills highlighted with ‘‘ are preferred keyskills architectArchitectural DesignDesignWorking DrawingsConcept Design sketchupDetail DrawingsLumionFormworkEngineering Drawingrevit3D ModelingInterior Designing'],"About company Established in 1984 D.K. & Associates, a Team of Architects, Engineers & Interior Designers and offering Project Management Consultancy Services, including complete MEP Services, has come a long way in providing comprehensive design and supervisory services to all the clients. The firm has handled projects of varying scales with clients comprising of multilateral organizations government agencies, corporate bodies NGO's and individuals. The firm has also received recognition for having maintained a high standard of design from aesthetic environmental, energy efficiency and utility point of view. A company has strong infrastructure to carry out work of any magnitude & scale. Backed by a team of highly professional personnel our working fields are Architecture, Interior Design, Landscape Design, Quantity Survey, Costing, Project Management and Supervision. Comprehensive services include conceptualisation, design development, documentation, and preparation of working details, bill of quantities, project costing, tendering supervision, monitoring and execution of projects. Associate Consultants in fields such as Structural, Electrical, Sanitary Plumbing, Landscape Design and Project Management supports our firm. Company Info Address: A-385 Basement Defence Colony Defence Colony South Delhi Delhi 110024 , NEW DELHI, Delhi, India","    Job description We are seeking a talented and experienced Architect to join our dynamic team. The ideal candidate will have a minimum of 5 years of experience in architectural design, with a strong portfolio showcasing their creativity, attention to detail, and technical proficiency. Role & Responsibilities:  1. Collaborate with clients to understand their requirements and translate them into innovative architectural solutions.  2. Develop conceptual designs, schematic drawings, and construction documents.  3. Coordinate with engineers, consultants, and contractors to ensure project feasibility and compliance with building codes and regulations.  4. Conduct site visits and assessments to gather relevant information and ensure project progress.  5. Utilize industry-leading software tools such as AutoCAD, Revit, and SketchUp to produce high-quality architectural drawings and renderings.  6. Provide leadership and guidance to junior staff members, fostering a collaborative and supportive work environment.  7. Stay updated on the latest trends, technologies, and best practices in architecture to continuously improve design processes and outcomes.  8. Manage project budgets, timelines, and resources effectively to deliver projects on time and within budget. Requirements:  1. Bachelor's  of Architecture from an accredited institution.  2. Minimum of 5 years of professional experience in architectural design, preferably with experience in commercial, and institutional projects.  3. Proficiency in AutoCAD, Revit, SketchUp, Lumion, Microsoft office and other relevant software applications.  4. Strong communication and presentation skills, with the ability to effectively communicate design concepts to clients, stakeholders, and team members. Openness to travel to project sites.  5. Excellent problem-solving abilities and attention to detail.  6. Ability to work independently as well as part of a collaborative team.  7. Knowledge of building codes, regulations, and industry standards.   8. Professional licensure (preferred but not required)."
Architect,Ericsson,Gurugram,7  10 years,https://www.naukri.com/,https://www.naukri.com/job-listings-architect-ericsson-india-global-services-pvt-ltd-gurugram-7-to-10-years-220424501977,4.3,1,22,2024-05-04,Min 15 LPA,Max 48 LPA,Avg. salary - 33.6 LPA,"['Work From Home', 'Health Insurance', 'Cafeteria', 'Job Training', 'Soft Skill Training', 'Transport']","['Role: Technical Architect Industry Type: Electronic Components / Semiconductors Department: Engineering - Software & QA Employment Type: Full Time, Permanent Role Category: Software Development']",['Education UG: Any Graduate PG: MCA in Computers'],['Key Skills Product managementoperational supportInterpersonal skillsBssGITFunctional testingAgileproduct life cycleProgramming'],"About company Ericsson is a world leading provider of communications technology services. Our offerings include services, consulting, software infrastructure within Information Communications Technology for telecom operators other industries. Awarded by AmbitionBox Winner of ABECA 2024 - AmbitionBox Employee Choice Awards Learn more","           Work with software development by converting incoming business requirements from product management       You will as a software developer work in all phases of the products life cycle, including design, implementation, verification, maintenance and operations of our products     Our ways of working are based on agile DevOps principles, where Continuous Integration is a cornerstone in our development methodology!    Working with Continues Improvement and product maintenance is also part of the role                     To be successful in the role you must have         7+ years of documented professional experience in SW development.     BE/B. TECH/MCA or higher equivalent education in Computer Science      Solid object-oriented Java (Enterprise) programming skills, with exposure to multi-threading, collections, and design patterns.     Experience in Software development environments and tools like Git/Gerrit, Jenkins etc     Experience from working with Lean Agile principles and like to work in a flexible team environment     Great interpersonal skills, flexibility, and willingness to adapt respond to change     Quality mindset, good experience in unit and function testing. Preferably you have experience with Junit.     Curiosity and eagerness to learn new things     A positive and inspiring approach in your everyday work     English proficiency both written and spoken                  Good to have:                  Working experience in Mobile money/wallet or similar product area will be an added advantage             Keen interest and familiarity in nurturing a product from feature development stage to successful customer deployment.              Exposure of working in a multicultural setup a definite advantage        "
Architect,GDS,Mumbai,2  7 years,https://www.naukri.com/,https://www.naukri.com/job-listings-architect-gds-mumbai-2-to-7-years-180124006531,4.2,2,46,2024-05-21,,,,"['Work From Home', 'Job Training', 'Transport', 'Team Outings', 'Soft Skill Training', 'Education Assistance']","['Role: Architect Industry Type: Architecture / Interior Design Department: UX, Design & Architecture Employment Type: Full Time, Permanent Role Category: Architecture & Interior Design']","['Education UG: B.Arch in Any Specialization, Diploma in Architecture']",['Key Skills Skills highlighted with ‘‘ are preferred keyskills ArchitectureWorking DrawingsArchitectural Design Detail DesignDesign DevelopmentPresentation DrawingsConcept Design'],"About company GDS is an established Architecture, Urban Design and Planning and Development Consultancy practice, headquartered in Mumbai. Founded in 1961, we hold a diverse project portfolio in the residential, commercial, retail, hospitality, healthcare, institutional and civic sectors, for clients such as leading real estate developers, central and civic governments, community organizations, etc. Company Info Link: GDS website Address: Santacruz West, Mumbai.","Role & responsibilities   Design research, concept design, design development, presentations, approval drawings and construction drawings for various projects such as residential, commercial offices, retail, healthcare, institutional and civic. Coordination with consultants and in-house staff to ensure smooth progress of works. Documentation and management review reports. Preferred candidate profile   Flair for design and creative thought. Knowledge of D. C. regulations and exposure to construction process to enable independent development of design solutions and project management. Experience of healthcare and hospitality projects would be an advantage. Capability to handle 3-4 projects simultaneously. Strong verbal and written communication skills. Please email updated CVs and portfolios not exceeding 10 mb to careers@gds.net.in"
